,Unnamed: 0.1,Unnamed: 0,oid,oy,ox,oGEOID,oMOVEMENT_ID,did,dy,dx,dGEOID,dMOVEMENT_ID,uber_OD,sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
38556,38556,3560077,75787586,34.0335832,-118.1301104,6037482701.0,1767.0,444666930,33.9445668,-118.3963038,6037980028.0,1697.0,"(1767.0, 1697.0)",1767.0,1697.0,3,1601.52,408.87,1559.48,1.25
895461,895461,2989696,1211029357,34.134721,-118.0706534,6037463103.0,2279.0,7157906894,34.2025223,-118.3402484,6037310400.0,126.0,"(2279.0, 126.0)",2279.0,126.0,3,1144.45,240.8,1122.63,1.21
337736,337736,3056815,122893489,34.0844884,-118.2765419,6037195803.0,1160.0,2081539707,34.0333523,-118.1504593,6037530400.0,2327.0,"(1160.0, 2327.0)",1160.0,2327.0,3,689.89,86.27,684.73,1.13
580089,580089,2109507,123236940,34.1524266,-118.3711742,6037143200.0,1030.0,123217176,34.0429173,-118.1205957,6037482801.0,1769.0,"(1030.0, 1769.0)",1030.0,1769.0,3,1277.86,257.79,1254.72,1.2
326245,326245,2918349,122880633,33.9704551,-118.184298,6037533803.0,82.0,122704639,33.9598359,-118.2028417,6037535701.0,1998.0,"(82.0, 1998.0)",82.0,1998.0,3,475.52,229.09,432.59,1.52
1156116,1156116,2454550,7050937049,34.1342327,-118.0008981,6037431100.0,1735.0,4626766100,34.0759076,-117.985787,6037404702.0,59.0,"(1735.0, 59.0)",1735.0,59.0,3,1003.17,451.49,869.15,1.81
766534,766534,4695884,123783936,34.3024718,-118.4451174,6037107010.0,755.0,7018163892,33.9307705,-118.4345409,6037980028.0,1697.0,"(755.0, 1697.0)",755.0,1697.0,3,3067.29,558.73,3019.12,1.19
212348,212348,3983811,122740587,34.0961567,-118.3287987,6037190802.0,1111.0,123408013,34.0907744,-118.4292072,6037261200.0,1514.0,"(1111.0, 1514.0)",1111.0,1514.0,3,1011.0,184.44,993.78,1.21
1057302,1057302,3794375,2910128508,33.9135332,-118.0726171,6037552200.0,1781.0,298148933,33.8460024,-118.0900512,6037554522.0,184.0,"(1781.0, 184.0)",1781.0,184.0,3,899.77,314.33,850.4,1.39
116301,116301,2762985,122636004,34.1859538,-118.285435,6037301400.0,358.0,123143701,34.162226,-118.4301392,6037124600.0,893.0,"(358.0, 893.0)",358.0,893.0,3,839.67,64.5,837.14,1.08
